time,Utsira Nord,Sørlige Nordsjø II,Midtfjellet,Havøygavlen
2014-01-01,0.9794999999999999,0.9387083333333334,0.5175,0.9898333333333333
2014-01-02,0.9914166666666667,0.9045,0.7485416666666667,0.94725
2014-01-03,0.9993333333333334,0.9987083333333334,0.8032499999999999,0.10804166666666666
2014-01-04,0.990875,0.9950833333333334,0.7646666666666667,0.20754166666666665
2014-01-05,0.9282083333333334,0.8634166666666667,0.42462500000000003,0.00020833333333333335
2014-01-06,0.95825,1.0,0.928125,0.41129166666666667
2014-01-07,0.9997916666666667,1.0,0.959,0.9999583333333333
2014-01-08,0.8349583333333334,0.9952916666666667,0.341625,0.9536250000000001
2014-01-09,0.22004166666666666,0.6759166666666667,0.11379166666666667,0.09075
2014-01-10,0.31104166666666666,0.997,0.024874999999999998,0.010166666666666666
2014-01-11,0.9892916666666666,0.8527083333333333,0.29716666666666663,0.043000000000000003
2014-01-12,0.5334166666666667,0.641875,0.18112499999999998,0.3373333333333333
2014-01-13,0.9892500000000001,0.80225,0.18433333333333332,0.33687500000000004
2014-01-14,0.9793333333333334,0.6504166666666666,0.12695833333333334,0.07708333333333334
2014-01-15,0.9995833333333333,0.916125,0.20920833333333333,0.2775
2014-01-16,1.0,1.0,0.38066666666666665,0.8696666666666667
2014-01-17,1.0,0.9393750000000001,0.502375,0.43379166666666663
2014-01-18,1.0,0.9999166666666667,0.7628750000000001,0.07525
2014-01-19,1.0,1.0,0.41591666666666666,0.04533333333333334
2014-01-20,0.9071666666666666,0.9983333333333334,0.026208333333333333,0.06508333333333334
2014-01-21,0.9070833333333334,0.9875833333333333,0.019083333333333334,0.12341666666666666
2014-01-22,1.0,1.0,0.121,0.15166666666666667
2014-01-23,1.0,1.0,0.5232083333333334,0.28650000000000003
2014-01-24,0.75,1.0,0.5226666666666667,0.16604166666666667
2014-01-25,0.125,1.0,0.9995833333333333,0.7043750000000001
2014-01-26,0.875,1.0,0.79825,0.9945416666666667
2014-01-27,0.9999166666666667,0.9867916666666666,0.06608333333333334,0.9925833333333333
2014-01-28,1.0,1.0,0.22479166666666664,0.45058333333333334
2014-01-29,0.748875,1.0,0.004458333333333333,0.47833333333333333
2014-01-30,0.9616666666666666,0.9797083333333333,0.0205,0.5967083333333333
2014-01-31,1.0,0.9729166666666668,0.09699999999999999,0.30233333333333334
2014-02-01,1.0,0.9994583333333334,0.654,0.99625
2014-02-02,1.0,0.99975,0.9998333333333332,0.9996666666666667
2014-02-03,0.9999166666666667,0.9814166666666666,0.702875,0.197875
2014-02-04,0.9991249999999999,0.9978333333333333,0.21283333333333335,0.6645833333333333
2014-02-05,1.0,1.0,0.42175,0.2227916666666667
2014-02-06,0.9987499999999999,0.9970833333333333,0.49370833333333336,0.148875
2014-02-07,0.5565833333333333,0.9962083333333333,0.1495,0.5942500000000001
2014-02-08,0.7543333333333333,0.9810833333333333,0.4567083333333333,0.946125
2014-02-09,0.999875,1.0,0.911625,0.9952916666666667
2014-02-10,0.9992083333333334,0.8134583333333333,0.9421666666666666,0.9991249999999999
2014-02-11,0.9992083333333334,0.617,0.48075,0.8615416666666667
2014-02-12,0.954125,0.9579583333333334,0.7243333333333334,0.5096666666666666
2014-02-13,1.0,1.0,0.9917916666666667,0.8811249999999999
2014-02-14,0.9494583333333333,0.9971666666666666,0.7519166666666667,0.9580416666666666
2014-02-15,0.8275833333333332,1.0,0.529125,0.6255000000000001
2014-02-16,0.8204166666666667,1.0,0.09654166666666668,0.9977916666666666
2014-02-17,0.4574583333333333,0.5660833333333334,0.10604166666666666,0.7845
2014-02-18,0.12895833333333334,0.624625,0.011583333333333334,0.3443333333333333
2014-02-19,0.016166666666666666,0.13895833333333332,0.00025,0.18883333333333333
2014-02-20,0.8406250000000001,0.7302083333333332,0.413875,0.5846250000000001
2014-02-21,0.9994166666666667,0.9872083333333334,0.74525,0.9638749999999999
2014-02-22,0.9974166666666666,1.0,0.8194583333333334,0.8339583333333334
2014-02-23,1.0,1.0,0.9970416666666666,0.5499166666666667
2014-02-24,0.9282916666666666,0.9359583333333333,0.926875,0.6120416666666667
2014-02-25,0.9901249999999999,0.996,0.6541666666666667,0.3889583333333333
2014-02-26,1.0,0.956875,0.6858333333333334,0.4608333333333334
2014-02-27,1.0,0.9407916666666667,0.9492083333333333,0.41758333333333336
2014-02-28,0.7228333333333333,0.077,0.219375,0.35108333333333336
2014-03-01,0.6968333333333333,0.11220833333333334,0.05079166666666667,0.9771666666666666
2014-03-02,0.97575,0.8754583333333333,0.06958333333333333,0.739
2014-03-03,0.9996666666666667,0.9987916666666666,0.27175,0.44183333333333336
2014-03-04,1.0,0.41420833333333335,0.20529166666666665,0.43379166666666663
2014-03-05,0.9762083333333332,0.34120833333333334,0.7836666666666666,0.7815416666666667
2014-03-06,0.8710833333333333,0.9992083333333334,0.7242916666666667,0.9312916666666666
2014-03-07,0.9929583333333333,1.0,0.8962916666666666,0.9352916666666666
2014-03-08,0.9748333333333333,0.8345833333333333,0.84775,0.8890416666666666
2014-03-09,0.762,0.7949583333333333,0.7448333333333333,0.6611666666666667
2014-03-10,0.3597916666666667,0.4751666666666667,0.10391666666666667,0.9692083333333333
2014-03-11,0.15420833333333334,0.03316666666666667,0.043666666666666666,0.8987083333333333
2014-03-12,0.2237916666666667,0.069125,0.10316666666666667,0.7308333333333333
2014-03-13,0.5559166666666667,0.49633333333333335,0.14308333333333334,0.626625
2014-03-14,0.7314166666666666,0.7195,0.6341249999999999,0.9775833333333334
